City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,21.6,77,98,5.44,PN,23-07-18
1,thompson,55.7435,-97.8558,21.09,49,40,1.54,CA,23-07-18
2,acarau,-2.8856,-40.12,29.22,62,6,8.21,BR,23-07-18
3,turpan,42.9333,89.1667,36.13,16,14,1.93,CN,23-07-18
4,ca mau,9.1769,105.15,25.78,88,100,4.12,VN,23-07-18
5,kangding,30.0513,101.9603,12.91,94,58,1.36,CN,23-07-18
6,port-aux-francais,-49.35,70.2167,4.12,91,100,16.42,TF,23-07-18
7,hawaiian paradise park,19.5933,-154.9731,25.18,88,100,4.12,US,23-07-18
8,iqaluit,63.7506,-68.5145,7.85,93,100,2.06,CA,23-07-18
9,blackmans bay,-43.0167,147.3167,5.38,71,35,5.13,AU,23-07-18
10,anadyr,64.75,177.4833,16.28,82,40,5.0,RU,23-07-18
11,puerto baquerizo moreno,-0.9,-89.6,27.55,78,75,5.14,EC,23-07-18
12,lockport,41.5895,-88.0578,25.89,53,40,2.06,US,23-07-18
13,hermanus,-34.4187,19.2345,12.67,75,48,9.83,ZA,23-07-18
14,saurimo,-9.6608,20.3916,20.09,31,5,2.03,AO,23-07-18
15,gadzhiyevo,69.2551,33.3362,16.36,73,100,2.08,RU,23-07-18
16,tarrafal de sao nicolau,16.5667,-24.3667,25.15,74,49,6.49,CV,23-07-18
17,edinburgh of the seven seas,-37.0676,-12.3116,15.09,95,100,10.92,SH,23-07-18
18,isafjordur,66.0755,-23.124,11.02,76,20,3.09,IS,23-07-18
19,vilyuchinsk,52.9306,158.4028,12.15,88,23,3.2,RU,23-07-18
20,waitangi,-43.9535,-176.5597,11.57,84,37,3.58,NZ,23-07-18
21,kodiak,57.79,-152.4072,13.73,88,100,2.57,US,23-07-18
22,bethel,41.3712,-73.414,24.54,85,40,3.09,US,23-07-18
23,ivins,37.1686,-113.6794,39.67,20,98,0.89,US,23-07-18
24,puerto natales,-51.7236,-72.4875,1.25,78,100,0.33,CL,23-07-18
25,kameshkovo,56.3481,41.0047,19.12,89,100,3.2,RU,23-07-18
26,tura,25.5198,90.2201,24.53,97,100,1.75,IN,23-07-18
27,ta`u,-14.2336,-169.5144,26.32,80,97,4.59,AS,23-07-18
28,ardestan,33.3761,52.3694,31.99,22,3,2.53,IR,23-07-18
29,vila franca do campo,37.7167,-25.4333,21.23,72,99,1.51,PT,23-07-18
30,el calafate,-50.3408,-72.2768,-1.86,64,6,0.83,AR,23-07-18
31,yeed,4.55,43.0333,27.17,50,17,8.9,SO,23-07-18
32,troitsko-pechorsk,62.7084,56.1964,17.65,60,23,1.28,RU,23-07-18
33,egilsstadir,65.2653,-14.3948,9.95,66,75,6.17,IS,23-07-18
34,bilibino,68.0546,166.4372,17.36,70,0,0.64,RU,23-07-18
35,tazovsky,67.4667,78.7,14.8,69,98,6.08,RU,23-07-18
36,stanley,54.868,-1.6985,12.99,94,75,1.54,GB,23-07-18
37,midvagur,62.0511,-7.1939,9.46,87,100,7.72,FO,23-07-18
38,pacific grove,36.6177,-121.9166,15.96,83,40,3.6,US,23-07-18
39,vol'sk,52.0333,47.3833,20.64,69,92,3.67,RU,23-07-18
40,horsham,51.064,-0.3272,19.3,60,0,3.6,GB,23-07-18
41,mount isa,-20.7333,139.5,11.87,66,40,2.06,AU,23-07-18
42,villa gesell,-37.2639,-56.973,8.36,55,6,1.42,AR,23-07-18
43,ushuaia,-54.8,-68.3,5.81,52,20,0.51,AR,23-07-18
44,trinidad,-14.8333,-64.9,25.99,53,75,4.12,BO,23-07-18
45,vorgashor,67.5833,63.95,15.9,88,93,2.45,RU,23-07-18
46,kenai,60.5544,-151.2583,15.04,83,0,3.09,US,23-07-18
47,sao jose da coroa grande,-8.8978,-35.1478,25.93,78,0,4.43,BR,23-07-18
48,sirte,31.2089,16.5887,27.56,77,0,3.87,LY,23-07-18
49,al jawf,29.5,38.75,32.29,11,0,3.88,SA,23-07-18
50,papatowai,-46.5619,169.4708,9.01,69,100,4.2,NZ,23-07-18
51,tolanaro,-25.0319,46.9987,21.04,94,75,5.14,MG,23-07-18
52,usogorsk,63.4106,48.6872,17.79,73,30,0.59,RU,23-07-18
53,kingston,17.997,-76.7936,29.58,77,100,1.79,JM,23-07-18
54,margaret river,-33.95,115.0667,11.94,70,100,11.8,AU,23-07-18
55,tazacorte,28.629,-17.9293,23.97,81,75,5.14,ES,23-07-18
56,mpongwe,-13.5091,28.155,15.48,40,5,3.4,ZM,23-07-18
57,mhamid,29.82,-5.72,39.91,6,9,5.83,MA,23-07-18
58,envira,-7.3,-70.2167,32.42,46,92,1.14,BR,23-07-18
59,khrenovoye,51.12,40.2889,18.49,95,100,3.19,RU,23-07-18
60,west island,-12.1568,96.8225,24.99,83,40,7.72,CC,23-07-18
61,atafu village,-8.5421,-172.5159,27.65,79,100,4.38,TK,23-07-18
62,malango,-2.9627,119.9001,19.16,95,100,0.66,ID,23-07-18
63,jalai nur,49.45,117.7,17.06,89,1,5.42,CN,23-07-18
64,portland,45.5234,-122.6762,24.56,52,0,4.12,US,23-07-18
65,sur,22.5667,59.5289,34.44,48,100,3.47,OM,23-07-18
66,punta arenas,-53.15,-70.9167,3.61,77,100,3.28,CL,23-07-18
67,yellowknife,62.456,-114.3525,23.29,56,100,3.09,CA,23-07-18
68,port lincoln,-34.7333,135.8667,10.6,78,100,6.7,AU,23-07-18
69,carnarvon,-24.8667,113.6333,19.86,65,59,6.67,AU,23-07-18
70,invercargill,-46.4,168.35,9.92,69,100,5.34,NZ,23-07-18
71,siem reap,13.5,104.0,25.86,82,100,2.45,KH,23-07-18
72,lionel town,17.8101,-77.2406,31.44,60,97,7.33,JM,23-07-18
73,sao joao dos patos,-6.495,-43.7022,34.54,24,5,3.43,BR,23-07-18
74,olonkinbyen,70.9221,-8.7187,4.39,95,80,7.94,SJ,23-07-18
75,nizhniy ingash,56.2,96.53,12.01,75,60,1.53,RU,23-07-18
76,inhambane,-23.865,35.3833,16.99,94,0,0.0,MZ,23-07-18
77,coruripe,-10.1256,-36.1756,25.26,80,42,4.57,BR,23-07-18
78,avarua,-21.2078,-159.775,21.03,83,75,3.09,CK,23-07-18
79,la ronge,55.1001,-105.2842,21.14,49,75,7.2,CA,23-07-18
80,kano,12.0001,8.5167,28.94,65,20,3.6,NG,23-07-18
81,callao,-12.0667,-77.15,23.16,60,20,5.14,PE,23-07-18
82,grytviken,-54.2811,-36.5092,-5.94,77,13,4.68,GS,23-07-18
83,sitka,57.0531,-135.33,16.94,67,75,3.6,US,23-07-18
84,albany,42.6001,-73.9662,27.01,76,64,1.15,US,23-07-18
